Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
402,Ousmane Dieng,21,OKC,C,29,0,11.4,1.4,3.6,.404,0.6,2.0,.288,0.9,1.6,.556,.486,0.4,0.6,.688,0.5,1.8,2.3,0.9,0.5,0.2,0.5,0.9,3.9,
403,Andre Jackson Jr.,23,MIL,SG,48,40,17.4,1.6,3.4,.469,0.5,1.4,.382,1.0,2.0,.532,.549,0.2,0.4,.556,1.1,2.1,3.3,1.5,0.6,0.3,1.0,2.1,3.9,
404,Mason Plumlee,34,PHO,C,50,18,17.8,1.5,2.6,.568,0.0,0.0,.000,1.5,2.6,.577,.568,0.9,1.5,.627,1.7,4.7,6.4,1.9,0.5,0.8,0.9,2.2,3.9,
405,Jae'Sean Tate,29,HOU,SF,32,2,11.4,1.5,3.0,.490,0.2,0.7,.273,1.3,2.3,.554,.521,0.8,1.2,.676,0.9,1.2,2.2,0.9,0.6,0.1,0.4,1.8,3.9,
406,Tristan Vukcevic,21,WAS,C,11,0,7.0,1.5,3.4,.432,0.5,1.7,.263,1.0,1.6,.611,.500,0.5,0.8,.667,0.5,1.1,1.6,0.8,0.1,0.1,0.5,0.9,3.9,
407,Cody Williams,20,UTA,SG,26,12,21.0,1.4,4.6,.300,0.6,2.4,.238,0.8,2.2,.368,.363,0.5,0.8,.636,0.5,1.7,2.2,1.3,0.5,0.4,0.8,1.9,3.9,
408,Steven Adams,31,HOU,C,35,2,12.6,1.5,2.6,.578,0.0,0.0,,1.5,2.6,.578,.578,0.8,1.8,.452,2.6,2.6,5.2,1.1,0.3,0.5,0.9,1.1,3.8,
409,Jevon Carter,29,CHI,PG,24,0,7.2,1.3,3.1,.432,0.8,2.2,.385,0.5,0.9,.545,.568,0.3,0.3,.750,0.1,0.8,0.9,0.9,0.3,0.0,0.3,0.3,3.8,
410,Gary Harris,30,ORL,SG,24,2,16.0,1.3,3.4,.395,0.9,2.6,.349,0.4,0.8,.556,.531,0.2,0.3,.500,0.5,0.8,1.2,0.5,0.6,0.3,0.5,0.8,3.8,
411,Pelle Larsson,23,MIA,SG,33,1,12.8,1.4,3.0,.459,0.5,1.4,.319,0.9,1.5,.588,.536,0.7,1.0,.667,0.4,1.1,1.5,0.9,0.5,0.1,0.4,1.7,3.8,
412,Dario Šarić,30,DEN,C,13,4,14.8,1.4,4.2,.333,0.5,1.8,.250,0.9,2.3,.400,.389,0.5,0.8,.700,1.0,2.6,3.6,1.7,0.5,0.1,1.1,1.4,3.8,
413,Dalen Terry,22,CHI,SG,47,1,12.7,1.4,3.1,.451,0.4,1.1,.352,1.0,1.9,.511,.517,0.6,0.9,.690,0.6,0.9,1.5,1.2,0.5,0.2,0.7,1.5,3.8,
414,Bol Bol,25,PHO,PF,15,0,7.2,1.4,2.7,.525,0.4,1.4,.286,1.0,1.3,.789,.600,0.5,0.8,.667,0.4,1.2,1.6,0.3,0.1,0.3,0.5,0.2,3.7,
